dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
200881801,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100506_4_18_1,kristiansandavis,,,,,Kristiansand,20100506,2010,,,,,,,digavis
200272120,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100421_12_15_1,budstikkasoegne,,,,,Kristiansand,20100421,2010,,,,,,,digavis
200272201,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111123_13_47_1,budstikkasoegne,,,,,Kristiansand,20111123,2011,,,,,,,digavis
200272130,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100630_12_25_1,budstikkasoegne,,,,,Kristiansand,20100630,2010,,,,,,,digavis
200272197,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111026_13_43_1,budstikkasoegne,,,,,Kristiansand,20111026,2011,,,,,,,digavis
200272119,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100414_12_14_1,budstikkasoegne,,,,,Kristiansand,20100414,2010,,,,,,,digavis
200272008,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080116_10_2_1,budstikkasoegne,,,,,Kristiansand,20080116,2008,,,,,,,digavis
200272156,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110105_13_1_1,budstikkasoegne,,,,,Kristiansand,20110105,2011,,,,,,,digavis
200272076,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090520_11_19_1,budstikkasoegne,,,,,Kristiansand,20090520,2009,,,,,,,digavis
200272013,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080220_10_7_1,budstikkasoegne,,,,,Kristiansand,20080220,2008,,,,,,,digavis
200272153,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101208_12_50_1,budstikkasoegne,,,,,Kristiansand,20101208,2010,,,,,,,digavis
200272136,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100811_12_32_1,budstikkasoegne,,,,,Kristiansand,20100811,2010,,,,,,,digavis
200272198,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111102_13_44_1,budstikkasoegne,,,,,Kristiansand,20111102,2011,,,,,,,digavis
200272199,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111109_13_45_1,budstikkasoegne,,,,,Kristiansand,20111109,2011,,,,,,,digavis
200272155,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101222_12_52_1,budstikkasoegne,,,,,Kristiansand,20101222,2010,,,,,,,digavis
200272200,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111116_13_46_1,budstikkasoegne,,,,,Kristiansand,20111116,2011,,,,,,,digavis
200272085,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090805_11_28_1,budstikkasoegne,,,,,Kristiansand,20090805,2009,,,,,,,digavis
200272148,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20101103_12_44_1,budstikkasoegne,,,,,Kristiansand,20101103,2010,,,,,,,digavis
200272102,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091202_11_45_1,budstikkasoegne,,,,,Kristiansand,20091202,2009,,,,,,,digavis
200272099,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20091111_11_42_1,budstikkasoegne,,,,,Kristiansand,20091111,2009,,,,,,,digavis
200272081,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090624_11_24_1,budstikkasoegne,,,,,Kristiansand,20090624,2009,,,,,,,digavis
200272118,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100407_12_13_1,budstikkasoegne,,,,,Kristiansand,20100407,2010,,,,,,,digavis
200272205,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111221_13_51_1,budstikkasoegne,,,,,Kristiansand,20111221,2011,,,,,,,digavis
200272016,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080312_10_10_1,budstikkasoegne,,,,,Kristiansand,20080312,2008,,,,,,,digavis
200272025,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080514_10_19_1,budstikkasoegne,,,,,Kristiansand,20080514,2008,,,,,,,digavis
200272195,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111012_13_41_1,budstikkasoegne,,,,,Kristiansand,20111012,2011,,,,,,,digavis
200272052,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20081119_10_46_1,budstikkasoegne,,,,,Kristiansand,20081119,2008,,,,,,,digavis
200272053,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20081126_10_47_1,budstikkasoegne,,,,,Kristiansand,20081126,2008,,,,,,,digavis
200272194,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111005_13_40_1,budstikkasoegne,,,,,Kristiansand,20111005,2011,,,,,,,digavis
200272093,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090930_11_36_1,budstikkasoegne,,,,,Kristiansand,20090930,2009,,,,,,,digavis
200272131,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100707_12_27_1,budstikkasoegne,,,,,Kristiansand,20100707,2010,,,,,,,digavis
200272082,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20090701_11_25_1,budstikkasoegne,,,,,Kristiansand,20090701,2009,,,,,,,digavis
200272034,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080716_10_28_1,budstikkasoegne,,,,,Kristiansand,20080716,2008,,,,,,,digavis
200272185,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110803_13_31_1,budstikkasoegne,,,,,Kristiansand,20110803,2011,,,,,,,digavis
200272027,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20080528_10_21_1,budstikkasoegne,,,,,Kristiansand,20080528,2008,,,,,,,digavis
200272129,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20100623_12_24_1,budstikkasoegne,,,,,Kristiansand,20100623,2010,,,,,,,digavis
200272163,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110223_13_8_1,budstikkasoegne,,,,,Kristiansand,20110223,2011,,,,,,,digavis
200272187,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110817_13_33_1,budstikkasoegne,,,,,Kristiansand,20110817,2011,,,,,,,digavis
